,timestamp,open,high,low,close,price_changing
2,2023-09-08T00:00:00,937040.0,937040.0,916720.0,931240.0,14520.0
10,2023-08-31T00:00:00,960080.0,960080.0,904340.0,948520.0,44180.0
11,2023-08-30T00:00:00,971480.0,971480.0,947260.0,968200.0,19680.0
17,2023-08-24T00:00:00,932320.0,932320.0,906680.0,933520.0,10760.0
19,2023-08-22T00:00:00,918760.0,918760.0,900000.0,918900.0,18900.0
